kode,kategori_asli,kategori,uraian,satuan,harga_satuan,tahun,kota,sumber
1.1.12.01.01.0001,Asbes,atap,Asbes Gelombang,Lembar,117400,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Asbes,atap,"Atap asbes gelombang, uk. 1.05 x 1.80 x 4 mm",Lembar,77900,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Asbes,atap,"Atap asbes gelombang, uk. 1.05 x 2.10 x 5 mm",Lembar,110700,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Asbes,atap,"Atap asbes gelombang, uk. 1.05 x 2.40 x 4 mm",Lembar,93200,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Asbes,atap,"Atap asbes gelombang, uk. 1.05 x 2.50 x 5 mm",Lembar,140400,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Asbes,atap,"Atap asbes gelombang, uk. 1.05 x 2.70 x 4 mm",Lembar,116300,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Asbes,atap,"Atap asbes gelombang, uk. 1.05 x 3.00 x 4 mm",Lembar,107400,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Asbes,atap,"Atap asbes gelombang, uk. 1.05 x 3.00 x 5 mm",Lembar,185300,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Asbes,atap,"Atap asbes gelombang, uk. 1.10 x 1.80 x 5 mm",Lembar,109700,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Asbes,atap,"Atap asbes gelombang, uk. 1.10 x 1.80 x 6 mm",Lembar,131600,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Asbes,atap,"Atap asbes gelombang, uk. 1.10 x 2.00 x 5 mm",Lembar,106400,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Asbes,atap,"Atap asbes gelombang, uk. 1.10 x 2.00 x 6 mm",Lembar,148100,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Asbes,atap,"Atap asbes gelombang, uk. 1.10 x 2.25 x 5 mm",Lembar,119500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Asbes,atap,"Atap asbes gelombang, uk. 1.10 x 2.25 x 6 mm",Lembar,137100,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Asbes,atap,"Atap asbes gelombang, uk. 1.10 x 2.50 x 6 mm",Lembar,170000,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Asbes,atap,"Atap asbes gelombang, uk. 1.10 x 3.00 x 6 mm",Lembar,263200,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Asbes,atap,Gelombang uk. 110 x 180 x tebal 5 mm,Lembar,117400,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Asbes,atap,Gelombang uk. 110 x 200 x tebal 5 mm,Lembar,104200,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Aspal,jalan,Aspal,Kg,19300,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Aspal,jalan,Asphaltic plug Moveable,Kg,37300,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Aspal,jalan,Curah,Kg,17500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Aspal,jalan,Emulsi,Kg,15900,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Aspal,jalan,Emulsi CRS-1 atau SS-1,Liter,15200,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Aspal,jalan,Emulsi CSS-1 atau SS-1,Liter,12300,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Aspal,jalan,Emulsi Modifikasi Polimer 1h,Liter,14800,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Aspal,jalan,Emulsi Modifikasi Polimer 2h,Liter,14600,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Aspal,jalan,Hotmik AC-WC ( Loco),Ton,1506200,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
1.1.12.01.01.0001,Aspal,jalan,Material Aspal - Material Aspal Beton (Ac-Bc),Ton,1919400,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
