kode,kategori,uraian,satuan,harga_satuan,tahun,kota,sumber
8.1.02.02.01.0016,upah_tenaga,Pekerja,Orang/Jam,19000,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Pekerja,Orang/Hari,133000,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang,Orang/Jam,22500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang,Orang/Hari,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Alumunium,Orang/Jam,22500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Alumunium,Orang/Hari,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Batu,Orang/Jam,22500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Batu,Orang/Hari,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Besi,Orang/Jam,22500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Besi,Orang/Hari,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Besi Konstruksi,Orang/Jam,22500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Besi Konstruksi,Orang/Hari,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Besi Profil,Orang/Jam,22500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Besi Profil,Orang/Hari,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Cat,Orang/Jam,22500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Cat,Orang/Hari,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Ereksi,Orang/Jam,22500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Ereksi,Orang/Hari,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Kayu,Orang/Jam,22500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Kayu,Orang/Hari,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Las,Orang/Jam,22500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Las,Orang/Hari,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Las Konstruksi,Orang/Jam,22500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Las Konstruksi,Orang/Hari,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Listrik,Orang/Jam,22500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Listrik,Orang/Hari,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Pemelihara Taman,Orang/Jam,22500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Pemelihara Taman,Orang/Hari,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Pipa,Orang/Jam,22500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Pipa,Orang/Hari,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Tanam,Orang/Jam,22500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Tanam,Orang/Hari,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Tembok,Orang/Jam,22500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Tembok,Orang/Hari,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Vibrator,Orang/Jam,22500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Tukang Vibrator,Orang/Hari,157500,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Kepala Tukang,Orang/Jam,24600,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Kepala Tukang,Orang/Hari,172200,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Mandor,Orang/Jam,25900,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Mandor,Orang/Hari,181300,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Juru Ukur,Orang/Jam,23000,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Juru Ukur,Orang/Hari,161000,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
8.1.02.02.01.0016,upah_tenaga,Juru Bor,Orang/Hari,161000,2026,Kabupaten Bandung,Perbup No.55 Tahun 2025
